trade_id,symbol,account,trade_date,side,quantity,price,venue,trade_type,signed_qty,notional,fee,settlement_date
T100104,GOOGL,ACC2,2023-03-02,BUY,3399,527.9,BATS,REG,3399,1794332.0999999999,730.62,2023-03-03
T100195,GOOGL,ACC2,2023-03-02,SELL,2551,93.2,NASDAQ,REG,-2551,237753.2,96.81,2023-03-03
T100247,GOOGL,ACC3,2023-03-02,SELL,4863,800.86,BATS,REG,-4863,3894582.18,1585.81,2023-03-03
T100022,JPM,ACC1,2023-03-02,BUY,2453,736.4,NASDAQ,MOC,2453,1806389.2,735.53,2023-03-03
T100120,JPM,ACC2,2023-03-02,SELL,4936,287.5,ARCA,MOO,-4936,1419100.0,577.84,2023-03-03
T100116,JPM,ACC3,2023-03-02,SELL,4299,897.02,ARCA,MOC,-4299,3856288.98,1570.22,2023-03-03
T100191,META,ACC1,2023-03-02,BUY,246,775.56,NYSE,MOC,246,190787.75999999998,77.69,2023-03-03
T100034,META,ACC2,2023-03-02,BUY,3886,569.46,NASDAQ,MOO,3886,2212921.56,901.07,2023-03-03
T100123,META,ACC3,2023-03-02,BUY,4905,855.15,NYSE,MOC,4905,4194510.75,1707.94,2023-03-03
T100189,META,ACC3,2023-03-02,BUY,2609,948.35,ARCA,MOC,2609,2474245.15,1007.47,2023-03-03
T100032,MSFT,ACC1,2023-03-02,SELL,4461,657.16,NASDAQ,MOO,-4461,2931590.76,1193.7,2023-03-03
T100172,MSFT,ACC2,2023-03-02,BUY,814,339.9,NASDAQ,VWAP,814,276678.6,112.66,2023-03-03
T100269,MSFT,ACC3,2023-03-02,BUY,1468,975.21,NYSE,MOO,1468,1431608.28,582.93,2023-03-03
T100138,SPY,ACC1,2023-03-02,SELL,3320,80.29,NYSE,REG,-3320,266562.80000000005,108.54,2023-03-03
T100057,SPY,ACC2,2023-03-02,SELL,2718,71.63,BATS,REG,-2718,194690.34,79.27,2023-03-03
T100185,TSLA,ACC2,2023-03-02,SELL,3196,758.62,BATS,MOO,-3196,2424549.52,987.24,2023-03-03
T100218,TSLA,ACC2,2023-03-02,BUY,464,777.37,NYSE,VWAP,464,360699.68,146.87,2023-03-03
T100114,AAPL,ACC1,2023-03-03,SELL,778,752.91,BATS,MOC,-778,585763.98,238.51,2023-03-04
T100175,AAPL,ACC3,2023-03-03,SELL,2911,389.16,ARCA,MOC,-2911,1132844.76,461.28,2023-03-04
T100231,AAPL,ACC3,2023-03-03,SELL,2876,334.33,NASDAQ,VWAP,-2876,961533.08,391.52,2023-03-04
T100230,AMZN,ACC1,2023-03-03,SELL,3786,325.71,NASDAQ,MOC,-3786,1233138.0599999998,502.11,2023-03-04
T100001,AMZN,ACC3,2023-03-03,BUY,3238,530.87,NYSE,REG,3238,1718957.06,699.93,2023-03-04
T100272,GOOGL,ACC1,2023-03-03,BUY,2332,761.92,NASDAQ,MOC,2332,1776797.44,723.48,2023-03-04
T100049,GOOGL,ACC2,2023-03-03,SELL,1655,472.7,NASDAQ,MOC,-1655,782318.5,318.55,2023-03-04
T100054,GOOGL,ACC3,2023-03-03,BUY,1864,933.94,NYSE,REG,1864,1740864.1600000001,708.85,2023-03-04
T100219,GOOGL,ACC3,2023-03-03,BUY,2963,245.45,BATS,VWAP,2963,727268.35,296.13,2023-03-04
T100005,JPM,ACC2,2023-03-03,BUY,4235,646.17,BATS,MOC,4235,2736529.9499999997,1114.27,2023-03-04
T100140,JPM,ACC2,2023-03-03,SELL,3685,525.76,BATS,MOC,-3685,1937425.5999999999,788.89,2023-03-04
T100080,META,ACC1,2023-03-03,SELL,3582,957.29,BATS,REG,-3582,3429012.78,1396.24,2023-03-04
T100117,META,ACC3,2023-03-03,BUY,2171,862.92,ARCA,MOC,2171,1873399.3199999998,762.82,2023-03-04
T100235,MSFT,ACC1,2023-03-03,SELL,4134,870.76,NASDAQ,REG,-4134,3599721.84,1465.75,2023-03-04
T100234,MSFT,ACC2,2023-03-03,BUY,4899,216.35,NYSE,MOC,4899,1059898.65,431.57,2023-03-04
T100020,MSFT,ACC3,2023-03-03,BUY,2359,326.6,NYSE,MOO,2359,770449.4,313.72,2023-03-04
T100186,MSFT,ACC3,2023-03-03,SELL,3290,793.03,NASDAQ,MOO,-3290,2609068.6999999997,1062.37,2023-03-04
T100274,NVDA,ACC1,2023-03-03,SELL,3125,909.66,NYSE,REG,-3125,2842687.5,1157.5,2023-03-04
T100090,NVDA,ACC3,2023-03-03,SELL,698,83.69,NYSE,VWAP,-698,58415.619999999995,23.79,2023-03-04
T100157,NVDA,ACC3,2023-03-03,SELL,3705,205.44,NASDAQ,MOO,-3705,761155.2,309.93,2023-03-04
T100262,SPY,ACC1,2023-03-03,BUY,1649,598.46,BATS,MOC,1649,986860.54,401.83,2023-03-04
T100194,SPY,ACC3,2023-03-03,SELL,1311,76.76,NYSE,MOO,-1311,100632.36,40.98,2023-03-04
T100203,SPY,ACC3,2023-03-03,SELL,84,84.31,NYSE,VWAP,-84,7082.04,2.88,2023-03-04
T100064,TSLA,ACC1,2023-03-03,SELL,546,109.87,ARCA,MOO,-546,59989.020000000004,24.43,2023-03-04
T100056,TSLA,ACC3,2023-03-03,BUY,4672,29.3,BATS,MOC,4672,136889.6,55.74,2023-03-04
T100079,XOM,ACC1,2023-03-03,SELL,4815,141.95,NYSE,VWAP,-4815,683489.25,278.31,2023-03-04
T100149,XOM,ACC1,2023-03-03,BUY,4287,260.38,BATS,REG,4287,1116249.06,454.52,2023-03-04
T100162,XOM,ACC1,2023-03-03,SELL,523,25.04,ARCA,MOC,-523,13095.92,5.33,2023-03-04
T100078,AAPL,ACC3,2023-03-04,BUY,2000,403.8,ARCA,MOO,2000,807600.0,328.84,2023-03-05
T100163,AMZN,ACC1,2023-03-04,SELL,1930,823.55,NASDAQ,MOC,-1930,1589451.5,647.2,2023-03-05
T100206,AMZN,ACC3,2023-03-04,SELL,2099,822.41,ARCA,VWAP,-2099,1726238.5899999999,702.9,2023-03-05
T100107,GOOGL,ACC3,2023-03-04,SELL,2342,275.03,NASDAQ,REG,-2342,644120.2599999999,262.28,2023-03-05
T100225,JPM,ACC2,2023-03-04,SELL,2691,911.33,ARCA,MOO,-2691,2452389.0300000003,998.58,2023-03-05
T100042,JPM,ACC3,2023-03-04,BUY,3377,547.63,BATS,VWAP,3377,1849346.51,753.03,2023-03-05
T100059,JPM,ACC3,2023-03-04,SELL,1342,56.84,NASDAQ,MOC,-1342,76279.28,31.06,2023-03-05
T100007,META,ACC1,2023-03-04,BUY,2684,729.62,NASDAQ,REG,2684,1958300.08,797.39,2023-03-05
T100000,META,ACC2,2023-03-04,SELL,3729,696.75,BATS,MOC,-3729,2598180.75,1057.94,2023-03-05
T100227,META,ACC2,2023-03-04,BUY,4235,965.23,ARCA,MOO,4235,4087749.0500000003,1664.47,2023-03-05
T100196,MSFT,ACC1,2023-03-04,SELL,2061,855.37,NASDAQ,REG,-2061,1762917.57,717.83,2023-03-05
T100009,MSFT,ACC2,2023-03-04,SELL,803,980.97,BATS,REG,-803,787718.91,320.75,2023-03-05
T100263,NVDA,ACC1,2023-03-04,BUY,4130,444.58,BATS,REG,4130,1836115.4,747.64,2023-03-05
T100113,NVDA,ACC2,2023-03-04,BUY,2075,630.48,BATS,VWAP,2075,1308246.0,532.7,2023-03-05
T100046,TSLA,ACC1,2023-03-04,SELL,2871,438.28,ARCA,VWAP,-2871,1258301.88,512.36,2023-03-05
T100100,TSLA,ACC2,2023-03-04,BUY,2272,829.68,NYSE,MOO,2272,1885032.96,767.56,2023-03-05
T100081,XOM,ACC1,2023-03-04,BUY,4390,802.03,NASDAQ,MOC,4390,3520911.6999999997,1433.66,2023-03-05
T100258,XOM,ACC1,2023-03-04,SELL,2353,241.03,NYSE,VWAP,-2353,567143.59,230.93,2023-03-05
T100124,AAPL,ACC1,2023-03-05,SELL,4883,54.71,NASDAQ,REG,-4883,267148.93,108.78,2023-03-06
T100087,AAPL,ACC2,2023-03-05,SELL,976,905.65,ARCA,VWAP,-976,883914.4,359.92,2023-03-06
T100183,AAPL,ACC2,2023-03-05,BUY,2778,404.31,ARCA,VWAP,2778,1123173.18,457.34,2023-03-06
T100205,AMZN,ACC1,2023-03-05,BUY,3934,384.4,NASDAQ,REG,3934,1512229.5999999999,615.76,2023-03-06
T100010,AMZN,ACC3,2023-03-05,BUY,1844,905.3,NYSE,REG,1844,1669373.2,679.74,2023-03-06
T100153,GOOGL,ACC1,2023-03-05,SELL,784,253.92,NYSE,VWAP,-784,199073.28,81.06,2023-03-06
T100074,GOOGL,ACC2,2023-03-05,BUY,4868,291.72,NASDAQ,MOO,4868,1420092.9600000002,578.24,2023-03-06
T100008,GOOGL,ACC3,2023-03-05,SELL,1965,644.49,BATS,MOO,-1965,1266422.85,515.67,2023-03-06
T100159,GOOGL,ACC3,2023-03-05,BUY,924,962.09,NASDAQ,MOC,924,888971.16,361.98,2023-03-06
T100097,META,ACC1,2023-03-05,BUY,1769,396.41,BATS,MOC,1769,701249.29,285.54,2023-03-06
T100004,META,ACC2,2023-03-05,SELL,3766,763.22,ARCA,MOO,-3766,2874286.52,1170.37,2023-03-06
T100118,META,ACC3,2023-03-05,BUY,3303,468.28,BATS,VWAP,3303,1546728.8399999999,629.8,2023-03-06
T100217,META,ACC3,2023-03-05,BUY,619,843.15,ARCA,REG,619,521909.85,212.51,2023-03-06
T100236,META,ACC3,2023-03-05,SELL,158,720.63,BATS,REG,-158,113859.54,46.36,2023-03-06
T100035,MSFT,ACC1,2023-03-05,SELL,136,4.9144,NASDAQ,VWAP,-136,668.3584,27.21,2023-03-06
T100003,MSFT,ACC2,2023-03-05,BUY,2901,959.01,BATS,MOO,2901,2782088.01,1132.82,2023-03-06
T100071,MSFT,ACC3,2023-03-05,BUY,3610,855.77,BATS,REG,3610,3089329.6999999997,1257.93,2023-03-06
T100105,MSFT,ACC3,2023-03-05,SELL,2089,605.33,ARCA,VWAP,-2089,1264534.37,514.9,2023-03-06
T100112,MSFT,ACC3,2023-03-05,SELL,3505,474.11,NYSE,MOO,-3505,1661755.55,676.64,2023-03-06
T100132,NVDA,ACC1,2023-03-05,SELL,3089,67.81,NYSE,MOC,-3089,209465.09,85.29,2023-03-06
T100150,NVDA,ACC1,2023-03-05,BUY,832,174.19,NYSE,VWAP,832,144926.08,59.01,2023-03-06
T100184,NVDA,ACC1,2023-03-05,BUY,3963,195.91,NASDAQ,VWAP,3963,776391.33,316.13,2023-03-06
T100241,NVDA,ACC1,2023-03-05,BUY,2864,219.63,BATS,MOO,2864,629020.32,256.13,2023-03-06
T100179,SPY,ACC1,2023-03-05,SELL,2689,297.68,BATS,MOC,-2689,800461.52,325.94,2023-03-06
T100244,SPY,ACC1,2023-03-05,SELL,4203,464.62,BATS,VWAP,-4203,1952797.86,795.15,2023-03-06
T100014,SPY,ACC2,2023-03-05,SELL,2929,676.52,NASDAQ,VWAP,-2929,1981527.0799999998,806.85,2023-03-06
T100152,SPY,ACC3,2023-03-05,BUY,4435,347.33,NASDAQ,MOO,4435,1540408.5499999998,627.23,2023-03-06
T100019,TSLA,ACC1,2023-03-05,BUY,355,483.75,NYSE,VWAP,355,171731.25,69.93,2023-03-06
T100076,XOM,ACC1,2023-03-05,BUY,4769,64.2,ARCA,REG,4769,306169.8,124.67,2023-03-06
T100146,XOM,ACC1,2023-03-05,BUY,3993,739.23,NASDAQ,REG,3993,2951745.39,1201.91,2023-03-06
T100147,XOM,ACC1,2023-03-05,BUY,4557,530.84,NYSE,REG,4557,2419037.8800000004,985.0,2023-03-06
T100237,XOM,ACC1,2023-03-05,SELL,3860,571.5,NASDAQ,VWAP,-3860,2205990.0,898.25,2023-03-06
T100154,XOM,ACC2,2023-03-05,SELL,2208,931.49,NASDAQ,MOC,-2208,2056729.92,837.47,2023-03-06
T100214,XOM,ACC2,2023-03-05,BUY,655,536.48,ARCA,MOO,655,351394.4,143.08,2023-03-06
T100036,XOM,ACC3,2023-03-05,SELL,3187,887.3,ARCA,MOC,-3187,2827825.0999999996,1151.45,2023-03-06
T100142,XOM,ACC3,2023-03-05,SELL,2153,579.89,NASDAQ,MOO,-2153,1248503.17,508.37,2023-03-06
T100144,AAPL,ACC2,2023-03-06,SELL,3201,552.9,BATS,MOO,-3201,1769832.9,720.65,2023-03-07
T100148,AMZN,ACC1,2023-03-06,BUY,174,870.8,ARCA,REG,174,151519.19999999998,61.7,2023-03-07
T100254,AMZN,ACC1,2023-03-06,BUY,491,606.36,ARCA,REG,491,297722.76,121.23,2023-03-07
T100265,AMZN,ACC1,2023-03-06,BUY,3579,166.59,ARCA,VWAP,3579,596225.61,242.77,2023-03-07
T100242,AMZN,ACC2,2023-03-06,BUY,1260,109.34,BATS,MOO,1260,137768.4,56.1,2023-03-07
T100174,GOOGL,ACC1,2023-03-06,BUY,3587,133.53,NYSE,REG,3587,478972.11,195.03,2023-03-07
T100216,GOOGL,ACC1,2023-03-06,BUY,4273,312.41,NYSE,MOC,4273,1334927.9300000002,543.56,2023-03-07
T100070,GOOGL,ACC2,2023-03-06,SELL,427,311.06,BATS,MOC,-427,132822.62,54.08,2023-03-07
T100075,JPM,ACC1,2023-03-06,BUY,1215,912.13,NASDAQ,VWAP,1215,1108237.95,451.26,2023-03-07
T100095,JPM,ACC3,2023-03-06,BUY,4432,137.93,ARCA,VWAP,4432,611305.76,248.91,2023-03-07
T100135,JPM,ACC3,2023-03-06,SELL,2816,127.28,NYSE,REG,-2816,358420.48,145.94,2023-03-07
T100037,META,ACC3,2023-03-06,BUY,3066,539.66,NASDAQ,VWAP,3066,1654597.5599999998,673.73,2023-03-07
T100048,META,ACC3,2023-03-06,BUY,3427,429.16,NYSE,VWAP,3427,1470731.32,598.86,2023-03-07
T100128,META,ACC3,2023-03-06,BUY,4074,2.9576,ARCA,REG,4074,12049.2624,490.63,2023-03-07
T100115,MSFT,ACC2,2023-03-06,BUY,3067,54.17,NYSE,REG,3067,166139.39,67.65,2023-03-07
T100027,NVDA,ACC1,2023-03-06,BUY,994,750.16,NASDAQ,REG,994,745659.0399999999,303.62,2023-03-07
T100240,NVDA,ACC1,2023-03-06,BUY,196,176.06,NYSE,MOC,196,34507.76,14.05,2023-03-07
T100050,NVDA,ACC2,2023-03-06,BUY,1215,990.53,NYSE,REG,1215,1203493.95,490.04,2023-03-07
T100108,SPY,ACC1,2023-03-06,SELL,3386,524.94,NASDAQ,REG,-3386,1777446.84,723.75,2023-03-07
T100188,SPY,ACC2,2023-03-06,BUY,4626,775.44,NASDAQ,MOO,4626,3587185.4400000004,1460.65,2023-03-07
T100041,TSLA,ACC1,2023-03-06,BUY,3543,807.9,NYSE,REG,3543,2862389.6999999997,1165.52,2023-03-07
T100223,TSLA,ACC1,2023-03-06,SELL,3038,50.68,NYSE,MOO,-3038,153965.84,62.69,2023-03-07
T100072,TSLA,ACC2,2023-03-06,BUY,964,721.24,NASDAQ,MOC,964,695275.36,283.11,2023-03-07
T100178,TSLA,ACC2,2023-03-06,SELL,2771,145.88,NASDAQ,REG,-2771,404233.48,164.6,2023-03-07
T100198,TSLA,ACC2,2023-03-06,BUY,2086,6.8252999999999995,NYSE,MOO,2086,14237.575799999999,579.73,2023-03-07
T100201,AAPL,ACC1,2023-03-07,BUY,3808,602.51,BATS,MOO,3808,2294358.08,934.23,2023-03-08
T100091,AAPL,ACC2,2023-03-07,BUY,4253,413.55,NYSE,REG,4253,1758828.1500000001,716.17,2023-03-08
T100182,AAPL,ACC2,2023-03-07,BUY,4841,843.32,NASDAQ,MOO,4841,4082512.12,1662.34,2023-03-08
T100021,AAPL,ACC3,2023-03-07,SELL,372,138.11,NYSE,MOO,-372,51376.920000000006,20.92,2023-03-08
T100051,AAPL,ACC3,2023-03-07,BUY,3040,20.23,ARCA,REG,3040,61499.200000000004,25.04,2023-03-08
T100275,AAPL,ACC3,2023-03-07,SELL,4100,729.8,ARCA,MOC,-4100,2992180.0,1218.37,2023-03-08
T100267,AMZN,ACC1,2023-03-07,SELL,4213,686.85,BATS,MOC,-4213,2893699.0500000003,1178.27,2023-03-08
T100055,AMZN,ACC2,2023-03-07,BUY,4031,88.63,NASDAQ,VWAP,4031,357267.52999999997,145.47,2023-03-08
T100125,AMZN,ACC3,2023-03-07,BUY,1491,342.47,ARCA,REG,1491,510622.77,207.92,2023-03-08
T100017,GOOGL,ACC1,2023-03-07,SELL,4817,999.37,NASDAQ,REG,-4817,4813965.29,1960.17,2023-03-08
T100011,GOOGL,ACC3,2023-03-07,BUY,2126,653.73,NASDAQ,REG,2126,1389829.98,565.92,2023-03-08
T100187,JPM,ACC2,2023-03-07,SELL,2583,190.28,NASDAQ,VWAP,-2583,491493.24,200.13,2023-03-08
T100028,META,ACC2,2023-03-07,SELL,1649,73.78,ARCA,MOO,-1649,121663.22,49.54,2023-03-08
T100143,META,ACC2,2023-03-07,SELL,1321,668.87,BATS,REG,-1321,883577.27,359.78,2023-03-08
T100151,META,ACC3,2023-03-07,BUY,953,177.19,BATS,REG,953,168862.07,68.76,2023-03-08
T100273,META,ACC3,2023-03-07,SELL,1646,953.6,NASDAQ,MOC,-1646,1569625.6,639.13,2023-03-08
T100013,NVDA,ACC1,2023-03-07,BUY,3335,70.56,BATS,MOC,3335,235317.6,95.82,2023-03-08
T100062,TSLA,ACC2,2023-03-07,SELL,4222,286.25,BATS,REG,-4222,1208547.5,492.1,2023-03-08
T100169,TSLA,ACC2,2023-03-07,BUY,3200,273.51,BATS,VWAP,3200,875232.0,356.38,2023-03-08
T100221,XOM,ACC1,2023-03-07,BUY,3482,870.69,BATS,VWAP,3482,3031742.58,1234.48,2023-03-08
T100222,XOM,ACC2,2023-03-07,SELL,2979,963.97,BATS,MOC,-2979,2871666.63,1169.3,2023-03-08
T100268,AAPL,ACC3,2023-03-08,BUY,181,407.63,ARCA,MOO,181,73781.03,30.04,2023-03-09
T100060,AMZN,ACC2,2023-03-08,SELL,211,490.19,BATS,MOO,-211,103430.09,42.12,2023-03-09
T100029,AMZN,ACC3,2023-03-08,BUY,837,466.04,NASDAQ,MOO,837,390075.48000000004,158.83,2023-03-09
T100126,AMZN,ACC3,2023-03-08,BUY,1911,932.96,ARCA,MOO,1911,1782886.56,725.96,2023-03-09
T100213,AMZN,ACC3,2023-03-08,BUY,2084,857.13,NASDAQ,MOC,2084,1786258.92,727.34,2023-03-09
T100271,GOOGL,ACC1,2023-03-08,SELL,4207,663.84,NASDAQ,MOO,-4207,2792774.8800000004,1137.18,2023-03-09
T100208,JPM,ACC1,2023-03-08,SELL,2091,21.01,NYSE,MOO,-2091,43931.91,17.89,2023-03-09
T100228,JPM,ACC2,2023-03-08,BUY,3077,764.89,NASDAQ,VWAP,3077,2353566.53,958.34,2023-03-09
T100166,JPM,ACC3,2023-03-08,BUY,1419,21.1,NASDAQ,REG,1419,29940.9,12.19,2023-03-09
T100102,META,ACC1,2023-03-08,SELL,961,637.18,NYSE,REG,-961,612329.98,249.33,2023-03-09
T100094,META,ACC2,2023-03-08,SELL,1734,834.03,ARCA,MOC,-1734,1446208.02,588.87,2023-03-09
T100168,META,ACC2,2023-03-08,BUY,4576,761.5,NYSE,VWAP,4576,3484624.0,1418.89,2023-03-09
T100224,META,ACC2,2023-03-08,BUY,4807,736.64,ARCA,REG,4807,3541028.48,1441.85,2023-03-09
T100068,META,ACC3,2023-03-08,SELL,3291,23.28,ARCA,MOC,-3291,76614.48000000001,31.2,2023-03-09
T100122,NVDA,ACC2,2023-03-08,SELL,4160,63.49,NYSE,MOC,-4160,264118.4,107.54,2023-03-09
T100226,NVDA,ACC2,2023-03-08,SELL,3639,860.21,ARCA,VWAP,-3639,3130304.19,1274.61,2023-03-09
T100255,NVDA,ACC3,2023-03-08,BUY,163,615.16,NYSE,MOC,163,100271.08,40.83,2023-03-09
T100200,SPY,ACC1,2023-03-08,SELL,2667,654.62,NASDAQ,VWAP,-2667,1745871.54,710.89,2023-03-09
T100260,TSLA,ACC1,2023-03-08,SELL,70,658.49,BATS,MOC,-70,46094.3,18.77,2023-03-09
T100098,XOM,ACC2,2023-03-08,SELL,3222,56.0,NYSE,VWAP,-3222,180432.0,73.47,2023-03-09
T100110,AAPL,ACC1,2023-03-09,SELL,1510,996.41,ARCA,MOO,-1510,1504579.0999999999,612.64,2023-03-10
T100220,AAPL,ACC3,2023-03-09,BUY,1718,148.71,BATS,REG,1718,255483.78000000003,104.03,2023-03-10
T100139,AMZN,ACC2,2023-03-09,SELL,3310,885.25,BATS,VWAP,-3310,2930177.5,1193.12,2023-03-10
T100197,AMZN,ACC3,2023-03-09,SELL,451,990.35,BATS,MOO,-451,446647.85000000003,181.87,2023-03-10
T100012,GOOGL,ACC2,2023-03-09,BUY,4116,699.31,BATS,MOO,4116,2878359.96,1172.02,2023-03-10
T100067,GOOGL,ACC2,2023-03-09,SELL,395,737.63,ARCA,MOC,-395,291363.85,118.64,2023-03-10
T100082,GOOGL,ACC2,2023-03-09,SELL,4168,273.8,NASDAQ,VWAP,-4168,1141198.4000000001,464.68,2023-03-10
T100084,GOOGL,ACC3,2023-03-09,SELL,2723,982.68,NASDAQ,REG,-2723,2675837.6399999997,1089.56,2023-03-10
T100245,GOOGL,ACC3,2023-03-09,BUY,4160,539.75,NYSE,MOC,4160,2245360.0,914.28,2023-03-10
T100065,JPM,ACC1,2023-03-09,BUY,1635,349.64,ARCA,MOC,1635,571661.4,232.77,2023-03-10
T100180,META,ACC3,2023-03-09,BUY,2116,38.06,BATS,VWAP,2116,80534.96,32.79,2023-03-10
T100045,MSFT,ACC2,2023-03-09,SELL,1802,529.76,ARCA,MOC,-1802,954627.52,388.71,2023-03-10
T100092,MSFT,ACC3,2023-03-09,SELL,3711,841.07,ARCA,REG,-3711,3121210.77,1270.91,2023-03-10
T100006,NVDA,ACC2,2023-03-09,BUY,104,763.86,NASDAQ,REG,104,79441.44,32.35,2023-03-10
T100106,NVDA,ACC2,2023-03-09,BUY,2727,534.53,BATS,REG,2727,1457663.3099999998,593.54,2023-03-10
T100023,SPY,ACC1,2023-03-09,SELL,2275,208.75,NYSE,MOC,-2275,474906.25,193.37,2023-03-10
T100160,SPY,ACC1,2023-03-09,BUY,1318,476.16,BATS,MOC,1318,627578.88,255.54,2023-03-10
T100061,SPY,ACC2,2023-03-09,BUY,3517,589.14,NASDAQ,MOC,3517,2072005.38,843.69,2023-03-10
T100252,SPY,ACC2,2023-03-09,BUY,3930,472.86,ARCA,REG,3930,1858339.8,756.69,2023-03-10
T100134,TSLA,ACC3,2023-03-09,SELL,4418,962.88,NASDAQ,MOO,-4418,4254003.84,1732.17,2023-03-10
T100119,XOM,ACC1,2023-03-09,SELL,956,403.35,NASDAQ,MOC,-956,385602.60000000003,157.01,2023-03-10
T100025,AAPL,ACC1,2023-03-10,BUY,3015,433.33,BATS,MOC,3015,1306489.95,531.98,2023-03-11
T100171,AAPL,ACC1,2023-03-10,SELL,1565,102.42,NYSE,MOC,-1565,160287.3,65.27,2023-03-11
T100233,AAPL,ACC1,2023-03-10,BUY,3373,750.92,NASDAQ,MOC,3373,2532853.1599999997,1031.34,2023-03-11
T100246,AAPL,ACC1,2023-03-10,BUY,2721,37.5,NYSE,MOO,2721,102037.5,41.55,2023-03-11
T100249,AAPL,ACC1,2023-03-10,SELL,1795,913.6,BATS,MOO,-1795,1639912.0,667.75,2023-03-11
