trade_date,symbol,trade_count,total_quantity,net_qty,total_notional,avg_price
2023-03-04,TSLA,2,5143,-599,3143334.84,633.98
2023-03-04,XOM,2,6743,2037,4088055.2899999996,521.53
2023-03-05,AAPL,3,8637,-3081,2274236.51,454.89000000000004
2023-03-05,AMZN,2,5778,5778,3181602.8,644.8499999999999
2023-03-05,GOOGL,4,8541,3043,3774560.2500000005,538.0550000000001
2023-03-05,META,5,9615,1767,5758034.04,638.338
2023-03-05,MSFT,5,12241,781,8798375.9884,579.82688
2023-03-05,NVDA,4,10748,4570,1759802.8199999998,164.385
2023-03-05,SPY,4,14256,-5386,6275195.01,446.53749999999997
2023-03-05,TSLA,1,355,355,171731.25,483.75
2023-03-05,XOM,8,25382,2566,14367395.66,605.11625
2023-03-06,AAPL,1,3201,-3201,1769832.9,552.9
2023-03-06,AMZN,4,5504,5504,1183235.97,438.2725
2023-03-06,GOOGL,3,8287,7433,1946722.6600000001,252.33333333333334
2023-03-06,JPM,3,8463,2831,2077964.19,392.44666666666666
2023-03-06,META,3,10567,10567,3137378.1424,323.92586666666665
2023-03-06,MSFT,1,3067,3067,166139.39,54.17
2023-03-06,NVDA,3,2405,2405,1983660.75,638.9166666666666
2023-03-06,SPY,2,8012,1240,5364632.28,650.19
2023-03-06,TSLA,5,12402,784,4130101.9557999996,346.50506
2023-03-07,AAPL,6,20414,11470,11240754.47,457.92
2023-03-07,AMZN,3,9735,1309,3761589.35,372.65000000000003
2023-03-07,GOOGL,2,6943,-2691,6203795.27,826.55
2023-03-07,JPM,1,2583,-2583,491493.24,190.28
2023-03-07,META,4,5569,-3663,2743728.16,468.36
2023-03-07,NVDA,1,3335,3335,235317.6,70.56
2023-03-07,TSLA,2,7422,-1022,2083779.5,279.88
2023-03-07,XOM,2,6461,503,5903409.21,917.33
2023-03-08,AAPL,1,181,181,73781.03,407.63
2023-03-08,AMZN,4,5043,4621,4062651.05,686.58
2023-03-08,GOOGL,1,4207,-4207,2792774.8800000004,663.84
2023-03-08,JPM,3,6587,2405,2427439.34,269.0
2023-03-08,META,5,15369,3397,9160804.96,598.5260000000001
2023-03-08,NVDA,3,7962,-7636,3494693.67,512.9533333333334
2023-03-08,SPY,1,2667,-2667,1745871.54,654.62
2023-03-08,TSLA,1,70,-70,46094.3,658.49
2023-03-08,XOM,1,3222,-3222,180432.0,56.0
2023-03-09,AAPL,2,3228,208,1760062.88,572.56
2023-03-09,AMZN,2,3761,-3761,3376825.35,937.8
2023-03-09,GOOGL,5,15562,990,9232119.85,646.634
2023-03-09,JPM,1,1635,1635,571661.4,349.64
2023-03-09,META,1,2116,2116,80534.96,38.06
2023-03-09,MSFT,2,5513,-5513,4075838.29,685.415
2023-03-09,NVDA,2,2831,2831,1537104.7499999998,649.1949999999999
2023-03-09,SPY,4,11040,6490,5032830.31,436.72749999999996
2023-03-09,TSLA,1,4418,-4418,4254003.84,962.88
2023-03-09,XOM,1,956,-956,385602.60000000003,403.35
2023-03-10,AAPL,8,20475,6247,11344560.649999999,527.855
2023-03-10,AMZN,3,8213,2449,3527967.87,376.9866666666667
2023-03-10,GOOGL,2,3380,3380,959661.2157000001,479.58485
2023-03-10,JPM,2,3696,-3696,1715815.26,366.55
2023-03-10,META,1,732,732,169824.0,232.0
2023-03-10,MSFT,3,10754,5540,3531969.21,261.4433333333333
2023-03-10,NVDA,7,12743,-6509,4745239.93,373.70142857142855
2023-03-10,SPY,3,5178,3494,1296602.7000000002,404.47
2023-03-10,TSLA,1,3082,3082,1221334.96,396.28
2023-03-10,XOM,2,3554,-3554,1779947.76,463.96500000000003
